站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220713154458,29.5,1019.9,41,159,9.5,0.7,10134.9
58102,20220713154458,12.3,1002.3,35,245,9.6,0.7,10086.6
58118,20220713154458,16.3,1003.4,10,85,5.6,0.0,10383.4
58122,20220713154458,18.2,1018.4,21,252,2.0,0.0,10409.7
58203,20220713154458,1.0,1005.7,41,123,6.3,0.4,10269.4
58215,20220713154458,28.7,1003.0,57,239,12.0,0.7,10074.9
58221,20220713154458,10.3,1021.0,32,149,6.5,0.0,10371.2
58225,20220713154458,3.8,1003.0,28,148,12.4,0.7,10471.1
58236,20220713154458,18.2,1026.0,68,192,0.7,0.3,10131.3
58311,20220713154458,4.7,1005.9,11,10,10.9,1.5,10377.2
58314,20220713154458,17.1,1007.2,30,220,9.2,0.1,10364.1
58319,20220713154458,12.7,1016.6,30,262,9.8,0.0,10263.9
58321,20220713154458,32.5,1003.1,84,352,0.1,0.6,10041.9
58326,20220713154458,23.8,1006.1,65,303,0.7,1.1,10158.7
58336,20220713154458,32.8,1021.6,60,301,5.8,0.1,10415.2
58338,20220713154458,31.3,1012.2,96,322,0.5,0.8,10031.7
58414,20220713154458,1.7,1022.8,8,259,8.9,0.6,10272.6
58419,20220713154458,27.1,1026.2,48,293,5.5,0.8,10280.6
58424,20220713154458,16.8,1018.6,56,172,13.7,1.0,10066.6
58429,20220713154458,15.7,1022.0,39,81,10.7,0.6,10068.2
58436,20220713154458,18.5,1001.5,9,119,14.5,0.7,10420.0
58437,20220713154458,22.5,1021.2,2,137,4.9,0.0,10003.5
58520,20220713154458,16.8,1017.2,72,309,5.3,0.2,10392.3
58531,20220713154458,19.7,1011.8,39,181,0.0,1.3,10055.4
54406,20220713154458,4.3,1015.3,7,55,7.5,0.6,10469.5
54416,20220713154458,15.2,1000.8,45,177,4.2,0.5,10087.9
54511,20220713154458,2.5,1022.0,70,210,1.0,0.4,10056.8
58725,20220713154458,26.2,1022.9,26,170,6.4,0.3,10161.1
58730,20220713154458,6.2,1001.7,95,186,5.7,0.1,10415.1
58731,20220713154458,32.8,1003.6,100,46,0.7,1.5,10048.7
58734,20220713154458,10.9,1011.5,51,43,3.8,1.1,10085.3
58737,20220713154458,21.3,1022.3,65,185,13.4,0.5,10270.4
58744,20220713154458,25.8,1004.0,28,15,4.9,0.9,10457.0
58754,20220713154458,26.0,1001.6,48,82,9.8,1.0,10225.5
58818,20220713154458,4.5,1012.2,12,206,8.2,0.9,10386.7
58820,20220713154458,7.0,1011.1,43,40,0.0,1.1,10212.6
58834,20220713154458,5.3,1004.8,14,85,0.5,0.0,10378.8
58837,20220713154458,1.0,1003.1,46,304,9.4,0.8,10434.9
58843,20220713154458,19.6,1013.3,55,349,13.5,0.1,10191.2
58846,20220713154458,14.6,1001.3,58,172,2.1,1.2,10289.8
58847,20220713154458,14.4,1003.9,55,358,10.7,1.2,10245.4
58911,20220713154458,16.1,1011.5,48,340,12.8,0.4,10059.6
58918,20220713154458,5.5,1023.4,43,17,3.2,0.8,10385.7
58921,20220713154458,23.4,1010.2,28,0,10.2,0.0,10480.8
58926,20220713154458,7.6,1004.9,2,47,4.3,0.7,10132.6
58927,20220713154458,18.5,1017.3,1,76,8.6,0.7,10149.4
58931,20220713154458,30.4,1023.9,25,17,3.5,1.0,10028.8
58933,20220713154458,14.9,1015.6,27,158,13.5,0.5,10165.6
58936,20220713154458,26.8,1007.2,16,92,2.4,1.2,10099.7
58944,20220713154458,21.4,1018.3,18,120,4.9,0.9,10089.6
59113,20220713154458,1.9,1016.9,29,341,11.5,0.0,10021.0
59126,20220713154458,24.0,1001.5,99,119,3.8,0.4,10437.0
59133,20220713154458,18.3,1001.9,40,352,6.6,1.4,10207.4
59134,20220713154458,16.5,1004.4,36,270,10.0,0.8,10211.3
59321,20220713154458,23.6,1024.4,24,156,9.5,1.5,10060.3
52323,20220713154458,15.9,1011.6,33,262,12.8,1.0,10242.2
52418,20220713154458,30.2,1025.3,43,303,13.7,1.3,10351.2
52424,20220713154458,32.2,1005.2,84,278,6.8,1.0,10011.3
52436,20220713154458,5.1,1017.0,44,17,0.1,0.6,10071.1
52446,20220713154458,30.6,1023.7,48,328,12.5,0.7,10117.6
52447,20220713154458,32.3,1013.2,56,263,7.2,1.3,10157.4
52533,20220713154458,13.8,1002.2,26,46,2.6,0.0,10483.4
52546,20220713154458,9.5,1015.0,26,353,5.5,0.4,10031.8
52652,20220713154458,26.7,1013.1,41,114,10.5,1.5,10168.5
52661,20220713154458,29.4,1017.9,37,237,13.1,0.3,10370.1
52674,20220713154458,16.7,1021.7,79,105,12.7,1.5,10134.3
52679,20220713154458,3.3,1013.8,1,270,4.3,0.5,10121.6
52681,20220713154458,32.5,1016.7,100,169,3.3,1.1,10128.1
52787,20220713154458,10.9,1012.4,83,151,4.8,0.7,10151.6
52797,20220713154458,26.1,1007.4,21,156,5.7,1.0,10367.3
52884,20220713154458,30.8,1014.3,38,359,11.8,0.9,10338.8
52895,20220713154458,17.7,1000.1,59,185,6.5,0.1,10091.3
52983,20220713154458,17.1,1020.5,43,101,2.9,1.3,10425.7
52984,20220713154458,18.9,1011.6,74,180,1.2,0.9,10132.2
52986,20220713154458,29.7,1023.4,4,335,9.9,0.4,10441.6
52996,20220713154458,23.9,1001.0,42,72,14.8,0.3,10156.5
53821,20220713154458,30.4,1001.3,24,214,10.8,1.0,10358.3
53915,20220713154458,3.1,1013.0,21,49,14.1,0.1,10022.2
53923,20220713154458,10.8,1006.0,32,35,3.6,1.4,10122.0
56074,20220713154458,28.3,1010.6,82,106,0.6,0.6,10237.4
56080,20220713154458,21.6,1005.3,88,241,8.1,1.4,10390.9
56093,20220713154458,10.1,1024.5,96,94,12.5,1.1,10479.4
56096,20220713154458,9.6,1023.9,90,284,10.4,1.2,10275.5
57014,20220713154458,18.9,1023.1,34,209,8.3,0.3,10202.2
57996,20220713154458,27.0,1007.7,74,18,1.3,0.8,10440.6
59072,20220713154458,17.9,1017.2,12,350,0.5,0.6,10433.8
59082,20220713154458,29.5,1017.0,33,329,3.9,0.9,10475.9
59087,20220713154458,32.4,1021.2,73,216,0.0,1.3,10307.8
59088,20220713154458,30.2,1010.2,53,67,1.2,0.9,10332.2
59096,20220713154458,16.0,1019.4,50,141,1.4,1.2,10427.8
59097,20220713154458,12.1,1024.3,89,29,9.5,1.2,10486.5
59107,20220713154458,20.4,1012.4,24,51,8.8,1.5,10410.3
59116,20220713154458,8.8,1023.5,38,74,12.9,0.2,10298.5
59117,20220713154458,23.4,1017.9,79,68,6.1,1.1,10237.7
59271,20220713154458,29.2,1011.4,7,116,10.9,1.4,10348.8
59278,20220713154458,1.2,1019.2,49,180,6.1,1.1,10077.2
59280,20220713154458,16.2,1002.6,45,169,2.8,0.1,10486.6
59287,20220713154458,17.2,1016.3,17,261,4.5,0.3,10109.1
59289,20220713154458,7.3,1003.9,64,113,1.6,0.1,10467.9
59293,20220713154458,32.9,1022.1,79,52,13.3,1.4,10028.1
59294,20220713154458,27.0,1009.4,49,169,2.5,0.4,10422.6
59298,20220713154458,3.3,1005.6,55,194,14.9,1.4,10411.2
59303,20220713154458,2.6,1019.7,38,52,14.4,0.4,10363.9
59304,20220713154458,30.5,1021.7,19,29,3.8,0.1,10344.2
59306,20220713154458,9.4,1025.7,99,101,3.1,0.2,10155.7
59310,20220713154458,31.8,1017.1,9,115,6.7,1.4,10188.8
59316,20220713154458,33.4,1014.2,98,343,10.6,1.4,10169.8
59317,20220713154458,21.8,1025.4,6,244,1.1,1.1,10191.2
59324,20220713154458,19.6,1020.7,28,272,10.0,0.5,10117.4
59456,20220713154458,16.5,1019.6,64,284,6.9,1.1,10282.9
59462,20220713154458,4.1,1013.3,90,186,2.7,1.1,10367.4
59478,20220713154458,25.6,1011.0,90,196,1.4,1.4,10372.0
59485,20220713154458,5.5,1005.9,59,276,9.2,1.4,10434.3
59488,20220713154458,18.1,1016.0,94,119,4.3,0.4,10024.1
59493,20220713154458,13.9,1022.4,84,270,7.2,0.8,10054.2
59501,20220713154458,34.6,1017.8,31,134,9.1,1.5,10056.2
59658,20220713154458,16.2,1012.2,76,63,13.7,0.5,10234.0
59663,20220713154458,2.0,1020.1,61,255,13.9,0.9,10312.2
59664,20220713154458,34.7,1022.4,79,197,14.8,1.3,10312.0
59673,20220713154458,1.1,1005.2,61,33,0.3,0.7,10108.3
59754,20220713154458,22.0,1011.4,35,191,3.2,1.3,10405.3
57947,20220713154458,34.1,1025.4,47,352,11.8,1.0,10067.0
57957,20220713154458,8.3,1017.8,34,311,2.9,1.5,10169.1
57958,20220713154458,24.7,1013.1,93,103,11.6,1.2,10442.7
59021,20220713154458,12.3,1022.3,89,17,1.0,1.0,10438.2
59023,20220713154458,0.4,1002.3,8,345,12.7,0.1,10482.2
59027,20220713154458,10.8,1012.8,97,36,2.6,0.5,10094.6
59037,20220713154458,24.2,1000.5,41,127,2.3,0.8,10312.9
59046,20220713154458,34.3,1020.5,20,302,13.0,0.7,10129.1
59058,20220713154458,11.9,1024.6,53,24,11.4,1.5,10014.2
59065,20220713154458,31.2,1025.7,19,193,12.5,0.2,10397.7
59209,20220713154458,0.2,1018.6,51,161,9.3,0.2,10218.5
59211,20220713154458,31.4,1007.5,41,226,6.0,0.7,10122.8
59218,20220713154458,2.9,1011.4,53,75,0.2,0.0,10043.0
59228,20220713154458,34.9,1024.3,74,283,2.7,1.5,10272.1
59242,20220713154458,29.1,1017.0,59,347,5.8,0.4,10047.7
59254,20220713154458,25.9,1005.1,71,357,7.6,0.6,10206.6
59265,20220713154458,30.5,1007.8,97,242,9.2,0.8,10150.2
59417,20220713154458,17.7,1013.4,90,166,1.7,0.6,10034.8
59431,20220713154458,10.5,1012.0,90,0,6.5,0.8,10454.8
59446,20220713154458,5.5,1000.3,81,296,10.9,0.6,10164.1
59453,20220713154458,9.9,1004.9,70,87,8.8,1.3,10292.5
59626,20220713154458,6.6,1000.7,80,27,12.1,0.8,10452.9
59631,20220713154458,27.1,1009.7,27,106,9.0,0.8,10018.1
59632,20220713154458,5.7,1018.9,47,293,12.4,1.4,10279.4
59644,20220713154458,24.3,1021.9,56,133,4.3,0.9,10063.0
59647,20220713154458,22.2,1014.4,16,26,6.4,0.6,10349.8
56691,20220713154458,28.1,1009.5,92,38,14.9,0.9,10281.7
56693,20220713154458,24.0,1007.3,4,109,9.9,0.1,10031.6
56792,20220713154458,32.9,1012.4,96,30,6.0,0.3,10198.2
56793,20220713154458,20.4,1007.0,89,129,12.6,1.5,10067.7
57606,20220713154458,26.2,1010.0,2,128,1.7,0.8,10300.4
57614,20220713154458,22.0,1016.4,71,308,4.5,0.1,10099.7
57625,20220713154458,2.5,1023.6,96,82,0.6,1.0,10092.8
57647,20220713154458,16.0,1020.3,21,4,2.3,0.4,10434.3
57707,20220713154458,8.4,1020.9,70,2,1.6,1.0,10194.2
57710,20220713154458,23.1,1013.4,77,161,12.6,0.7,10087.8
57712,20220713154458,3.1,1004.4,71,171,0.1,0.1,10057.8
57718,20220713154458,22.1,1014.3,79,147,10.3,0.2,10421.7
57722,20220713154458,9.4,1008.4,19,239,2.5,1.5,10171.8
57729,20220713154458,15.6,1001.7,45,36,2.8,0.4,10043.8
57731,20220713154458,33.1,1020.9,92,279,14.6,0.1,10034.6
57741,20220713154458,3.4,1017.9,98,228,8.9,1.5,10283.3
57803,20220713154458,28.2,1018.6,40,131,8.5,1.3,10177.5
57805,20220713154458,7.2,1013.4,77,217,11.1,0.0,10182.6
57806,20220713154458,2.5,1015.0,15,76,11.2,1.3,10009.2
57816,20220713154458,31.3,1017.4,31,59,10.0,1.5,10179.9
57825,20220713154458,20.1,1019.8,55,321,12.9,1.4,10185.7
57827,20220713154458,16.1,1013.5,56,150,5.6,0.3,10316.6
57832,20220713154458,15.2,1019.1,73,59,14.4,0.6,10373.3
57839,20220713154458,14.0,1014.7,35,100,1.3,0.1,10436.8
57840,20220713154458,32.9,1008.2,99,62,9.7,1.2,10370.5
57902,20220713154458,16.3,1009.0,89,34,5.8,0.4,10053.2
57906,20220713154458,24.6,1015.4,12,334,3.3,0.3,10499.9
57907,20220713154458,3.1,1001.2,53,259,6.6,1.0,10260.6
57910,20220713154458,22.0,1000.5,39,214,9.8,0.4,10017.5
57912,20220713154458,7.6,1006.2,84,204,14.3,0.0,10279.8
57916,20220713154458,11.8,1012.2,96,119,10.1,1.4,10438.6
57922,20220713154458,19.7,1021.4,51,145,11.6,0.6,10029.6
57926,20220713154458,19.5,1001.1,64,163,14.6,0.1,10476.1
57932,20220713154458,3.8,1015.4,58,124,3.2,0.8,10448.1
59758,20220713154458,30.8,1017.6,91,82,3.8,0.5,10349.5
59838,20220713154458,34.2,1006.4,8,206,4.0,1.3,10375.1
59845,20220713154458,0.9,1005.7,97,60,5.5,0.8,10459.2
59849,20220713154458,3.0,1024.5,65,130,5.7,0.5,10068.7
59855,20220713154458,5.1,1013.5,67,150,3.2,0.4,10317.2
59948,20220713154458,3.2,1016.4,6,194,9.0,0.8,10375.9
59954,20220713154458,28.0,1014.9,86,278,3.6,1.3,10463.5
59981,20220713154458,11.2,1018.7,86,104,11.3,0.1,10295.3
53399,20220713154458,31.7,1006.9,93,123,4.1,0.6,10023.7
53593,20220713154458,11.9,1009.7,38,188,11.1,1.0,10193.3
53698,20220713154458,26.8,1024.4,56,143,13.3,0.0,10021.8
53798,20220713154458,12.5,1001.3,4,154,2.5,0.8,10278.7
54308,20220713154458,4.6,1023.1,58,120,1.7,0.5,10078.7
54311,20220713154458,27.7,1024.0,9,244,7.7,1.3,10064.3
54401,20220713154458,1.5,1015.5,47,103,14.9,1.4,10261.1
54405,20220713154458,3.1,1013.8,52,255,7.6,0.2,10240.4
54423,20220713154458,1.5,1023.4,80,322,3.5,0.8,10267.0
54429,20220713154458,29.3,1018.6,83,12,4.6,0.3,10071.9
54436,20220713154458,1.6,1017.3,33,85,3.0,0.7,10101.3
54449,20220713154458,20.1,1023.7,87,295,8.5,0.5,10442.0
54518,20220713154458,21.0,1013.8,92,16,3.7,0.3,10058.5
54534,20220713154458,13.0,1017.4,18,198,4.7,1.2,10333.4
54535,20220713154458,23.4,1021.3,44,140,3.3,0.3,10111.3
54539,20220713154458,17.8,1023.8,46,107,14.7,1.5,10368.8
54602,20220713154458,12.8,1015.7,86,147,11.7,0.9,10417.2
54606,20220713154458,1.6,1008.5,78,0,5.9,1.1,10487.5
54618,20220713154458,25.4,1022.7,54,252,9.2,1.2,10382.2
54624,20220713154458,31.8,1015.8,11,53,13.4,0.8,10055.1
54705,20220713154458,26.9,1015.6,5,116,6.4,1.3,10166.8
53898,20220713154458,25.1,1010.8,31,140,2.0,0.8,10355.4
53986,20220713154458,32.3,1025.5,32,179,10.4,1.2,10435.3
57051,20220713154458,13.0,1011.2,17,133,10.5,0.3,10203.2
57067,20220713154458,32.1,1024.5,9,355,2.8,0.8,10484.0
57071,20220713154458,7.5,1023.5,60,318,7.4,0.9,10485.9
57077,20220713154458,32.0,1021.4,39,256,0.6,0.9,10227.8
57083,20220713154458,26.3,1011.5,12,6,13.7,1.1,10313.5
57084,20220713154458,25.3,1021.8,100,286,4.5,0.3,10467.7
57089,20220713154458,17.6,1006.8,58,98,12.8,0.0,10178.4
57091,20220713154458,11.9,1019.9,67,251,10.9,0.9,10400.0
57156,20220713154458,19.4,1003.1,100,278,13.2,1.0,10221.9
57178,20220713154458,8.7,1021.1,17,106,5.0,0.7,10070.3
57181,20220713154458,9.8,1017.1,19,281,0.1,1.1,10298.2
57193,20220713154458,19.6,1017.5,41,106,0.5,1.5,10030.1
57285,20220713154458,4.3,1017.4,70,183,9.0,0.8,10435.5
57290,20220713154458,27.4,1011.5,99,56,2.1,1.0,10080.5
57297,20220713154458,17.7,1021.6,20,121,1.2,0.6,10183.6
58005,20220713154458,31.5,1017.4,87,248,6.5,1.1,10272.4
58111,20220713154458,29.9,1021.9,25,250,14.8,0.9,10310.4
58208,20220713154458,17.0,1009.0,40,175,4.7,0.9,10483.1
50136,20220713154458,26.4,1012.5,78,206,9.1,1.3,10267.3
50246,20220713154458,23.4,1016.9,62,252,10.8,0.8,10170.0
50247,20220713154458,25.2,1017.2,7,99,1.1,1.4,10090.8
50349,20220713154458,7.9,1012.7,68,283,14.4,0.6,10304.4
50353,20220713154458,15.6,1005.5,82,86,0.2,1.1,10033.1
50442,20220713154458,11.9,1017.8,80,2,9.9,1.2,10124.5
50468,20220713154458,15.4,1020.0,47,65,1.9,0.0,10309.0
50557,20220713154458,0.1,1009.7,79,323,6.4,0.1,10184.9
50564,20220713154458,18.3,1005.5,18,346,5.2,1.1,10454.8
50656,20220713154458,19.5,1021.7,85,80,12.2,0.7,10251.6
50658,20220713154458,29.7,1004.8,81,352,5.0,0.2,10316.6
50674,20220713154458,8.2,1001.3,7,92,12.2,0.8,10036.6
50739,20220713154458,14.1,1021.8,48,79,13.8,0.0,10440.1
50742,20220713154458,2.8,1003.7,31,86,8.1,1.5,10465.3
50745,20220713154458,4.1,1016.7,54,176,14.0,0.2,10113.0
50756,20220713154458,22.2,1016.4,31,43,9.9,0.8,10086.5
50758,20220713154458,7.1,1014.4,16,130,10.9,0.6,10213.3
50774,20220713154458,2.3,1022.6,20,31,5.0,1.4,10296.6
50778,20220713154458,17.4,1017.2,90,35,14.9,0.6,10435.3
50788,20220713154458,19.8,1016.3,26,337,9.5,0.7,10358.8
50844,20220713154458,0.6,1016.6,20,310,12.2,1.1,10321.6
50853,20220713154458,34.1,1012.6,94,155,8.4,0.5,10318.1
50854,20220713154458,6.6,1020.0,18,87,8.2,1.4,10355.2
50862,20220713154458,25.0,1009.5,71,25,3.1,1.1,10478.8
50873,20220713154458,15.3,1010.5,67,94,10.3,0.2,10264.8
50877,20220713154458,26.5,1001.0,77,21,2.8,0.6,10270.4
50888,20220713154458,18.2,1008.0,77,210,5.2,0.5,10209.4
50950,20220713154458,14.0,1014.8,24,289,0.5,0.2,10367.3
50953,20220713154458,20.4,1024.1,62,94,9.6,1.2,10482.1
50955,20220713154458,23.0,1017.6,34,199,14.1,0.6,10042.7
50963,20220713154458,32.2,1022.9,90,304,1.9,0.9,10210.4
50968,20220713154458,2.7,1002.9,4,347,1.9,0.7,10079.9
50973,20220713154458,24.1,1015.6,76,173,11.4,1.3,10117.4
